[probe] mlx_lm=/Users/gesicht/glm5.2/mlx-lm/mlx_lm/__init__.py
[probe] 양자화가능 506 · 그룹 106
[probe] 창 3
[probe] 참조 로짓 15s
  [1/106] embed_tokens                 n= 1271.4M kl@4=0.00171
  [2/106] linear_attn.in_proj_a@0      n=    1.5M kl@4=0.00100
  [3/106] linear_attn.in_proj_a@1      n=    1.5M kl@4=0.00102
  [4/106] linear_attn.in_proj_a@2      n=    1.5M kl@4=0.00085
  [5/106] linear_attn.in_proj_a@3      n=    1.5M kl@4=0.00090
  [6/106] linear_attn.in_proj_a@4      n=    1.5M kl@4=0.00092
  [7/106] linear_attn.in_proj_a@5      n=    1.5M kl@4=0.00068
  [8/106] linear_attn.in_proj_a@6      n=    1.5M kl@4=0.00041
  [9/106] linear_attn.in_proj_a@7      n=    1.5M kl@4=0.00026
  [10/106] linear_attn.in_proj_b@0      n=    1.5M kl@4=0.00095
  [11/106] linear_attn.in_proj_b@1      n=    1.5M kl@4=0.00095
  [12/106] linear_attn.in_proj_b@2      n=    1.5M kl@4=0.00082
  [13/106] linear_attn.in_proj_b@3      n=    1.5M kl@4=0.00079
  [14/106] linear_attn.in_proj_b@4      n=    1.5M kl@4=0.00080
  [15/106] linear_attn.in_proj_b@5      n=    1.5M kl@4=0.00056
  [16/106] linear_attn.in_proj_b@6      n=    1.5M kl@4=0.00041
  [17/106] linear_attn.in_proj_b@7      n=    1.5M kl@4=0.00027
  [18/106] linear_attn.in_proj_qkv@0    n=  314.6M kl@4=0.00198
  [19/106] linear_attn.in_proj_qkv@1    n=  314.6M kl@4=0.00261
  [20/106] linear_attn.in_proj_qkv@2    n=  314.6M kl@4=0.00197
  [21/106] linear_attn.in_proj_qkv@3    n=  314.6M kl@4=0.00279
  [22/106] linear_attn.in_proj_qkv@4    n=  314.6M kl@4=0.00402
  [23/106] linear_attn.in_proj_qkv@5    n=  314.6M kl@4=0.00347
  [24/106] linear_attn.in_proj_qkv@6    n=  314.6M kl@4=0.00198
  [25/106] linear_attn.in_proj_qkv@7    n=  314.6M kl@4=0.00100
  [26/106] linear_attn.in_proj_z@0      n=  188.7M kl@4=0.00371
  [27/106] linear_attn.in_proj_z@1      n=  188.7M kl@4=0.00283
  [28/106] linear_attn.in_proj_z@2      n=  188.7M kl@4=0.00161
  [29/106] linear_attn.in_proj_z@3      n=  188.7M kl@4=0.00220
  [30/106] linear_attn.in_proj_z@4      n=  188.7M kl@4=0.00324
  [31/106] linear_attn.in_proj_z@5      n=  188.7M kl@4=0.00247
  [32/106] linear_attn.in_proj_z@6      n=  188.7M kl@4=0.00123
  [33/106] linear_attn.in_proj_z@7      n=  188.7M kl@4=0.00091
  [34/106] linear_attn.out_proj@0       n=  188.7M kl@4=0.00339
  [35/106] linear_attn.out_proj@1       n=  188.7M kl@4=0.00121
  [36/106] linear_attn.out_proj@2       n=  188.7M kl@4=0.00141
  [37/106] linear_attn.out_proj@3       n=  188.7M kl@4=0.00185
  [38/106] linear_attn.out_proj@4       n=  188.7M kl@4=0.00287
  [39/106] linear_attn.out_proj@5       n=  188.7M kl@4=0.00266
  [40/106] linear_attn.out_proj@6       n=  188.7M kl@4=0.00163
  [41/106] linear_attn.out_proj@7       n=  188.7M kl@4=0.00121
  [42/106] lm_head                      n= 1271.4M kl@4=0.00461
  [43/106] mlp.down_proj@0              n=  713.0M kl@4=0.00169
  [44/106] mlp.down_proj@1              n=  713.0M kl@4=0.00120
  [45/106] mlp.down_proj@2              n=  713.0M kl@4=0.00211
  [46/106] mlp.down_proj@3              n=  713.0M kl@4=0.00279
  [47/106] mlp.down_proj@4              n=  713.0M kl@4=0.00653
  [48/106] mlp.down_proj@5              n=  713.0M kl@4=0.00765
  [49/106] mlp.down_proj@6              n=  713.0M kl@4=0.00411
  [50/106] mlp.down_proj@7              n=  713.0M kl@4=0.00310
  [51/106] mlp.gate_proj@0              n=  713.0M kl@4=0.00133
  [52/106] mlp.gate_proj@1              n=  713.0M kl@4=0.00130
  [53/106] mlp.gate_proj@2              n=  713.0M kl@4=0.00175
  [54/106] mlp.gate_proj@3              n=  713.0M kl@4=0.00288
  [55/106] mlp.gate_proj@4              n=  713.0M kl@4=0.00473
  [56/106] mlp.gate_proj@5              n=  713.0M kl@4=0.00652
  [57/106] mlp.gate_proj@6              n=  713.0M kl@4=0.00322
  [58/106] mlp.gate_proj@7              n=  713.0M kl@4=0.00268
  [59/106] mlp.up_proj@0                n=  713.0M kl@4=0.00156
  [60/106] mlp.up_proj@1                n=  713.0M kl@4=0.00126
  [61/106] mlp.up_proj@2                n=  713.0M kl@4=0.00170
  [62/106] mlp.up_proj@3                n=  713.0M kl@4=0.00283
  [63/106] mlp.up_proj@4                n=  713.0M kl@4=0.00667
  [64/106] mlp.up_proj@5                n=  713.0M kl@4=0.00738
  [65/106] mlp.up_proj@6                n=  713.0M kl@4=0.00334
  [66/106] mlp.up_proj@7                n=  713.0M kl@4=0.00260
  [67/106] mtp.fc                       n=   52.4M kl@4=0.00000
  [68/106] mtp.mlp.down_proj            n=   89.1M kl@4=0.00000
  [69/106] mtp.mlp.gate_proj            n=   89.1M kl@4=0.00000
  [70/106] mtp.mlp.up_proj              n=   89.1M kl@4=0.00000
  [71/106] mtp.self_attn.k_proj         n=    5.2M kl@4=0.00000
  [72/106] mtp.self_attn.o_proj         n=   31.5M kl@4=0.00000
  [73/106] mtp.self_attn.q_proj         n=   62.9M kl@4=0.00000
  [74/106] mtp.self_attn.v_proj         n=    5.2M kl@4=0.00000
  [75/106] self_attn.k_proj@0           n=   10.5M kl@4=0.00110
  [76/106] self_attn.k_proj@1           n=   10.5M kl@4=0.00100
  [77/106] self_attn.k_proj@2           n=   10.5M kl@4=0.00091
  [78/106] self_attn.k_proj@3           n=   10.5M kl@4=0.00099
  [79/106] self_attn.k_proj@4           n=   10.5M kl@4=0.00092
  [80/106] self_attn.k_proj@5           n=   10.5M kl@4=0.00079
  [81/106] self_attn.k_proj@6           n=   10.5M kl@4=0.00050
  [82/106] self_attn.k_proj@7           n=   10.5M kl@4=0.00036
  [83/106] self_attn.o_proj@0           n=   62.9M kl@4=0.00126
  [84/106] self_attn.o_proj@1           n=   62.9M kl@4=0.00107
  [85/106] self_attn.o_proj@2           n=   62.9M kl@4=0.00123
  [86/106] self_attn.o_proj@3           n=   62.9M kl@4=0.00151
  [87/106] self_attn.o_proj@4           n=   62.9M kl@4=0.00208
  [88/106] self_attn.o_proj@5           n=   62.9M kl@4=0.00129
  [89/106] self_attn.o_proj@6           n=   62.9M kl@4=0.00082
  [90/106] self_attn.o_proj@7           n=   62.9M kl@4=0.00063
  [91/106] self_attn.q_proj@0           n=  125.8M kl@4=0.00160
  [92/106] self_attn.q_proj@1           n=  125.8M kl@4=0.00131
  [93/106] self_attn.q_proj@2           n=  125.8M kl@4=0.00119
  [94/106] self_attn.q_proj@3           n=  125.8M kl@4=0.00141
  [95/106] self_attn.q_proj@4           n=  125.8M kl@4=0.00141
  [96/106] self_attn.q_proj@5           n=  125.8M kl@4=0.00118
  [97/106] self_attn.q_proj@6           n=  125.8M kl@4=0.00070
  [98/106] self_attn.q_proj@7           n=  125.8M kl@4=0.00052
  [99/106] self_attn.v_proj@0           n=   10.5M kl@4=0.00149
  [100/106] self_attn.v_proj@1           n=   10.5M kl@4=0.00142
  [101/106] self_attn.v_proj@2           n=   10.5M kl@4=0.00136
  [102/106] self_attn.v_proj@3           n=   10.5M kl@4=0.00202
  [103/106] self_attn.v_proj@4           n=   10.5M kl@4=0.00186
  [104/106] self_attn.v_proj@5           n=   10.5M kl@4=0.00139
  [105/106] self_attn.v_proj@6           n=   10.5M kl@4=0.00080
  [106/106] self_attn.v_proj@7           n=   10.5M kl@4=0.00054
PROBE-DONE
